1 0 ['seti', 123, 0, 4] [15823996, 0, 0, 0, 0, 0]
330 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 44]
331 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 45]
332 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 45]
333 19 ['muli', 2, 256, 2] [15823996, 18, 46, 65536, 14559001, 45]
334 20 ['gtrr', 2, 3, 2] [15823996, 19, 11776, 65536, 14559001, 45]
335 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 45]
336 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 45]
337 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 45]
338 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 46]
339 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 46]
340 19 ['muli', 2, 256, 2] [15823996, 18, 47, 65536, 14559001, 46]
341 20 ['gtrr', 2, 3, 2] [15823996, 19, 12032, 65536, 14559001, 46]
342 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 46]
343 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 46]
344 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 46]
345 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 47]
346 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 47]
347 19 ['muli', 2, 256, 2] [15823996, 18, 48, 65536, 14559001, 47]
348 20 ['gtrr', 2, 3, 2] [15823996, 19, 12288, 65536, 14559001, 47]
349 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 47]
350 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 47]
351 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 47]
352 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 48]
353 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 48]
354 19 ['muli', 2, 256, 2] [15823996, 18, 49, 65536, 14559001, 48]
355 20 ['gtrr', 2, 3, 2] [15823996, 19, 12544, 65536, 14559001, 48]
356 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 48]
357 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 48]
358 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 48]
359 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 49]
360 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 49]
361 19 ['muli', 2, 256, 2] [15823996, 18, 50, 65536, 14559001, 49]
362 20 ['gtrr', 2, 3, 2] [15823996, 19, 12800, 65536, 14559001, 49]
363 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 49]
364 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 49]
365 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 49]
366 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 50]
367 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 50]
368 19 ['muli', 2, 256, 2] [15823996, 18, 51, 65536, 14559001, 50]
369 20 ['gtrr', 2, 3, 2] [15823996, 19, 13056, 65536, 14559001, 50]
370 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 50]
371 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 50]
372 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 50]
373 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 51]
374 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 51]
375 19 ['muli', 2, 256, 2] [15823996, 18, 52, 65536, 14559001, 51]
376 20 ['gtrr', 2, 3, 2] [15823996, 19, 13312, 65536, 14559001, 51]
377 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 51]
378 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 51]
379 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 51]
380 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 52]
381 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 52]
382 19 ['muli', 2, 256, 2] [15823996, 18, 53, 65536, 14559001, 52]
383 20 ['gtrr', 2, 3, 2] [15823996, 19, 13568, 65536, 14559001, 52]
384 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 52]
385 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 52]
386 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 52]
387 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 53]
388 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 53]
389 19 ['muli', 2, 256, 2] [15823996, 18, 54, 65536, 14559001, 53]
390 20 ['gtrr', 2, 3, 2] [15823996, 19, 13824, 65536, 14559001, 53]
391 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 53]
392 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 53]
393 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 53]
394 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 54]
395 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 54]
396 19 ['muli', 2, 256, 2] [15823996, 18, 55, 65536, 14559001, 54]
397 20 ['gtrr', 2, 3, 2] [15823996, 19, 14080, 65536, 14559001, 54]
398 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 54]
399 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 54]
400 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 54]
401 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 55]
402 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 55]
403 19 ['muli', 2, 256, 2] [15823996, 18, 56, 65536, 14559001, 55]
404 20 ['gtrr', 2, 3, 2] [15823996, 19, 14336, 65536, 14559001, 55]
405 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 55]
406 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 55]
407 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 55]
408 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 56]
409 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 56]
410 19 ['muli', 2, 256, 2] [15823996, 18, 57, 65536, 14559001, 56]
411 20 ['gtrr', 2, 3, 2] [15823996, 19, 14592, 65536, 14559001, 56]
412 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 56]
413 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 56]
414 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 56]
415 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 57]
416 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 57]
417 19 ['muli', 2, 256, 2] [15823996, 18, 58, 65536, 14559001, 57]
418 20 ['gtrr', 2, 3, 2] [15823996, 19, 14848, 65536, 14559001, 57]
419 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 57]
420 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 57]
421 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 57]
422 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 58]
423 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 58]
424 19 ['muli', 2, 256, 2] [15823996, 18, 59, 65536, 14559001, 58]
425 20 ['gtrr', 2, 3, 2] [15823996, 19, 15104, 65536, 14559001, 58]
426 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 58]
427 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 58]
428 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 58]
429 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 59]
430 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 59]
431 19 ['muli', 2, 256, 2] [15823996, 18, 60, 65536, 14559001, 59]
432 20 ['gtrr', 2, 3, 2] [15823996, 19, 15360, 65536, 14559001, 59]
433 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 59]
434 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 59]
435 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 59]
436 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 60]
437 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 60]
438 19 ['muli', 2, 256, 2] [15823996, 18, 61, 65536, 14559001, 60]
439 20 ['gtrr', 2, 3, 2] [15823996, 19, 15616, 65536, 14559001, 60]
440 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 60]
441 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 60]
442 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 60]
443 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 61]
444 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 61]
445 19 ['muli', 2, 256, 2] [15823996, 18, 62, 65536, 14559001, 61]
446 20 ['gtrr', 2, 3, 2] [15823996, 19, 15872, 65536, 14559001, 61]
447 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 61]
448 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 61]
449 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 61]
450 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 62]
451 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 62]
452 19 ['muli', 2, 256, 2] [15823996, 18, 63, 65536, 14559001, 62]
453 20 ['gtrr', 2, 3, 2] [15823996, 19, 16128, 65536, 14559001, 62]
454 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 62]
455 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 62]
456 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 62]
457 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 63]
458 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 63]
459 19 ['muli', 2, 256, 2] [15823996, 18, 64, 65536, 14559001, 63]
460 20 ['gtrr', 2, 3, 2] [15823996, 19, 16384, 65536, 14559001, 63]
461 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 63]
462 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 63]
463 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 63]
464 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 64]
465 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 64]
466 19 ['muli', 2, 256, 2] [15823996, 18, 65, 65536, 14559001, 64]
467 20 ['gtrr', 2, 3, 2] [15823996, 19, 16640, 65536, 14559001, 64]
468 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 64]
469 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 64]
470 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 64]
471 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 65]
472 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 65]
473 19 ['muli', 2, 256, 2] [15823996, 18, 66, 65536, 14559001, 65]
474 20 ['gtrr', 2, 3, 2] [15823996, 19, 16896, 65536, 14559001, 65]
475 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 65]
476 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 65]
477 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 65]
478 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 66]
479 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 66]
480 19 ['muli', 2, 256, 2] [15823996, 18, 67, 65536, 14559001, 66]
481 20 ['gtrr', 2, 3, 2] [15823996, 19, 17152, 65536, 14559001, 66]
482 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 66]
483 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 66]
484 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 66]
485 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 67]
486 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 67]
487 19 ['muli', 2, 256, 2] [15823996, 18, 68, 65536, 14559001, 67]
488 20 ['gtrr', 2, 3, 2] [15823996, 19, 17408, 65536, 14559001, 67]
489 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 67]
490 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 67]
491 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 67]
492 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 68]
493 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 68]
494 19 ['muli', 2, 256, 2] [15823996, 18, 69, 65536, 14559001, 68]
495 20 ['gtrr', 2, 3, 2] [15823996, 19, 17664, 65536, 14559001, 68]
496 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 68]
497 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 68]
498 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 68]
499 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 69]
500 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 69]
501 19 ['muli', 2, 256, 2] [15823996, 18, 70, 65536, 14559001, 69]
502 20 ['gtrr', 2, 3, 2] [15823996, 19, 17920, 65536, 14559001, 69]
503 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 69]
504 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 69]
505 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 69]
506 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 70]
507 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 70]
508 19 ['muli', 2, 256, 2] [15823996, 18, 71, 65536, 14559001, 70]
509 20 ['gtrr', 2, 3, 2] [15823996, 19, 18176, 65536, 14559001, 70]
510 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 70]
511 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 70]
512 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 70]
513 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 71]
514 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 71]
515 19 ['muli', 2, 256, 2] [15823996, 18, 72, 65536, 14559001, 71]
516 20 ['gtrr', 2, 3, 2] [15823996, 19, 18432, 65536, 14559001, 71]
517 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 71]
518 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 71]
519 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 71]
520 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 72]
521 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 72]
522 19 ['muli', 2, 256, 2] [15823996, 18, 73, 65536, 14559001, 72]
523 20 ['gtrr', 2, 3, 2] [15823996, 19, 18688, 65536, 14559001, 72]
524 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 72]
525 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 72]
526 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 72]
527 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 73]
528 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 73]
529 19 ['muli', 2, 256, 2] [15823996, 18, 74, 65536, 14559001, 73]
530 20 ['gtrr', 2, 3, 2] [15823996, 19, 18944, 65536, 14559001, 73]
531 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 73]
532 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 73]
533 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 73]
534 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 74]
535 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 74]
536 19 ['muli', 2, 256, 2] [15823996, 18, 75, 65536, 14559001, 74]
537 20 ['gtrr', 2, 3, 2] [15823996, 19, 19200, 65536, 14559001, 74]
538 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 74]
539 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 74]
540 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 74]
541 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 75]
542 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 75]
543 19 ['muli', 2, 256, 2] [15823996, 18, 76, 65536, 14559001, 75]
544 20 ['gtrr', 2, 3, 2] [15823996, 19, 19456, 65536, 14559001, 75]
545 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 75]
546 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 75]
547 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 75]
548 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 76]
549 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 76]
550 19 ['muli', 2, 256, 2] [15823996, 18, 77, 65536, 14559001, 76]
551 20 ['gtrr', 2, 3, 2] [15823996, 19, 19712, 65536, 14559001, 76]
552 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 76]
553 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 76]
554 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 76]
555 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 77]
556 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 77]
557 19 ['muli', 2, 256, 2] [15823996, 18, 78, 65536, 14559001, 77]
558 20 ['gtrr', 2, 3, 2] [15823996, 19, 19968, 65536, 14559001, 77]
559 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 77]
560 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 77]
561 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 77]
562 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 78]
563 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 78]
564 19 ['muli', 2, 256, 2] [15823996, 18, 79, 65536, 14559001, 78]
565 20 ['gtrr', 2, 3, 2] [15823996, 19, 20224, 65536, 14559001, 78]
566 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 78]
567 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 78]
568 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 78]
569 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 79]
570 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 79]
571 19 ['muli', 2, 256, 2] [15823996, 18, 80, 65536, 14559001, 79]
572 20 ['gtrr', 2, 3, 2] [15823996, 19, 20480, 65536, 14559001, 79]
573 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 79]
574 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 79]
575 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 79]
576 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 80]
577 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 80]
578 19 ['muli', 2, 256, 2] [15823996, 18, 81, 65536, 14559001, 80]
579 20 ['gtrr', 2, 3, 2] [15823996, 19, 20736, 65536, 14559001, 80]
580 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 80]
581 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 80]
582 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 80]
583 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 81]
584 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 81]
585 19 ['muli', 2, 256, 2] [15823996, 18, 82, 65536, 14559001, 81]
586 20 ['gtrr', 2, 3, 2] [15823996, 19, 20992, 65536, 14559001, 81]
587 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 81]
588 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 81]
589 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 81]
590 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 82]
591 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 82]
592 19 ['muli', 2, 256, 2] [15823996, 18, 83, 65536, 14559001, 82]
593 20 ['gtrr', 2, 3, 2] [15823996, 19, 21248, 65536, 14559001, 82]
594 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 82]
595 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 82]
596 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 82]
597 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 83]
598 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 83]
599 19 ['muli', 2, 256, 2] [15823996, 18, 84, 65536, 14559001, 83]
600 20 ['gtrr', 2, 3, 2] [15823996, 19, 21504, 65536, 14559001, 83]
601 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 83]
602 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 83]
603 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 83]
604 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 84]
605 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 84]
606 19 ['muli', 2, 256, 2] [15823996, 18, 85, 65536, 14559001, 84]
607 20 ['gtrr', 2, 3, 2] [15823996, 19, 21760, 65536, 14559001, 84]
608 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 84]
609 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 84]
610 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 84]
611 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 85]
612 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 85]
613 19 ['muli', 2, 256, 2] [15823996, 18, 86, 65536, 14559001, 85]
614 20 ['gtrr', 2, 3, 2] [15823996, 19, 22016, 65536, 14559001, 85]
615 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 85]
616 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 85]
617 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 85]
618 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 86]
619 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 86]
620 19 ['muli', 2, 256, 2] [15823996, 18, 87, 65536, 14559001, 86]
621 20 ['gtrr', 2, 3, 2] [15823996, 19, 22272, 65536, 14559001, 86]
622 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 86]
623 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 86]
624 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 86]
625 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 87]
626 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 87]
627 19 ['muli', 2, 256, 2] [15823996, 18, 88, 65536, 14559001, 87]
628 20 ['gtrr', 2, 3, 2] [15823996, 19, 22528, 65536, 14559001, 87]
629 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 87]
630 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 87]
631 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 87]
632 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 88]
633 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 88]
634 19 ['muli', 2, 256, 2] [15823996, 18, 89, 65536, 14559001, 88]
635 20 ['gtrr', 2, 3, 2] [15823996, 19, 22784, 65536, 14559001, 88]
636 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 88]
637 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 88]
638 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 88]
639 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 89]
640 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 89]
641 19 ['muli', 2, 256, 2] [15823996, 18, 90, 65536, 14559001, 89]
642 20 ['gtrr', 2, 3, 2] [15823996, 19, 23040, 65536, 14559001, 89]
643 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 89]
644 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 89]
645 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 89]
646 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 90]
647 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 90]
648 19 ['muli', 2, 256, 2] [15823996, 18, 91, 65536, 14559001, 90]
649 20 ['gtrr', 2, 3, 2] [15823996, 19, 23296, 65536, 14559001, 90]
650 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 90]
651 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 90]
652 24 ['addi', 5, 1, 5] [15823996, 23, 0, 65536, 14559001, 90]
653 25 ['seti', 17, 6, 1] [15823996, 24, 0, 65536, 14559001, 91]
654 18 ['addi', 5, 1, 2] [15823996, 17, 0, 65536, 14559001, 91]
655 19 ['muli', 2, 256, 2] [15823996, 18, 92, 65536, 14559001, 91]
656 20 ['gtrr', 2, 3, 2] [15823996, 19, 23552, 65536, 14559001, 91]
657 21 ['addr', 2, 1, 1] [15823996, 20, 0, 65536, 14559001, 91]
658 22 ['addi', 1, 1, 1] [15823996, 21, 0, 65536, 14559001, 91]
